Section,Field,Value,Owner,Due Date,Notes
Week Summary,Week of,,,, 
Week Summary,Theme,,,, 
Week Summary,Overall health (Green Yellow Red),,,, 
Week Summary,Go-live confidence percent,,,, 
Production Readiness Snapshot,Security RBAC status,,,, 
Production Readiness Snapshot,Payments Webhooks status,,,, 
Production Readiness Snapshot,Messaging Drip status,,,, 
Production Readiness Snapshot,UX QA status,,,, 
Production Readiness Snapshot,Ops Monitoring status,,,, 
Production Readiness Snapshot,Current blocker 1,,,, 
Production Readiness Snapshot,Current blocker 2,,,, 
Progress This Week,Completed item 1,,,, 
Progress This Week,Completed item 2,,,, 
Progress This Week,Completed item 3,,,, 
Progress This Week,In progress item 1,,,, 
Progress This Week,In progress item 2,,,, 
Progress This Week,Deferred item 1,,,, 
KPI Snapshot,Donation conversion rate,,,, 
KPI Snapshot,Average donation amount,,,, 
KPI Snapshot,Checkout completion rate,,,, 
KPI Snapshot,Email delivery rate,,,, 
KPI Snapshot,Bounce complaint rate,,,, 
KPI Snapshot,Time to incident resolution,,,, 
Competitive Position,Biggest win vs alternatives this week,,,, 
Competitive Position,Biggest gap vs alternatives this week,,,, 
Competitive Position,One feature to build next for advantage,,,, 
Risks and Mitigations,Risk 1,,,, 
Risks and Mitigations,Impact 1,,,, 
Risks and Mitigations,Mitigation 1,,,, 
Risks and Mitigations,Owner 1,,,, 
Risks and Mitigations,Due date 1,,,, 
Next Week Plan,Priority 1,,,, 
Next Week Plan,Priority 2,,,, 
Next Week Plan,Priority 3,,,, 
Next Week Plan,Stretch,,,, 
Decisions Needed,Decision 1,,,, 
Decisions Needed,Options 1,,,, 
Decisions Needed,Recommended 1,,,, 
Decisions Needed,Decision needed by,,,, 
Owners,Product owner,,,, 
Owners,Engineering owner,,,, 
Owners,Operations owner,,,, 
Owners,QA owner,,,, 
